,game_id,start_time,end_time,time_class,rules,white_username,white_result,black_username,black_result,moves,nMoves
51,1146896292,09/05/2015 22:07,09/05/2015 22:09,blitz,chess,4157214,timeout,2294907,win,"['e4', 'c5', 'Nf3', 'd6', 'd4', 'Nf6', 'e5', 'dxe5', 'Nxe5', 'Qxd4', 'Bb5+', 'Nbd7', 'Bxd7+', 'Bxd7', 'Nxd7', 'Qxd1+', 'Kxd1', 'O-O-O', 'Nc3', 'Rxd7+', 'Ke2', 'e6', 'Bg5', 'Be7', 'Rhd1', 'Rhd8', 'Rxd7', 'Rxd7', 'a3', 'h6', 'Bxf6', 'Bxf6', 'Nb5', 'a6', 'Nc3', 'b5', 'Ne4', 'Bxb2', 'Ra2', 'Bd4', 'c3', 'Be5', 'Nxc5', 'Rc7', 'Nxa6', 'Rxc3', 'Nb4', 'Kb7', 'a4', 'Rc4', 'Nd3', 'Bd4', 'axb5', 'e5', 'g3', 'g5', 'Kd2', 'e4', 'Nb2', 'Rb4', 'Nd1', 'Rxb5', 'Rc2', 'f5', 'Kc1', 'f4', 'gxf4', 'gxf4', 'Rd2', 'Bb6', 'Nc3', 'Rc5', 'Kb2', 'e3', 'fxe3', 'fxe3', 'Na4', 'exd2', 'Nxc5+', 'Bxc5', 'Kc2', 'Be3', 'Kd1', 'Kc6', 'Ke2', 'Kd5', '0-1']",87
52,1146902706,09/05/2015 22:14,09/05/2015 22:16,blitz,chess,4165047,checkmated,430226,win,"['e4', 'c5', 'Nf3', 'd6', 'Nc3', 'Nf6', 'g3', 'g6', 'Bg2', 'Bg7', 'O-O', 'O-O', 'd3', 'Nc6', 'h3', 'Rb8', 'Be3', 'b5', 'Qd2', 'Re8', 'Nh2', 'Nd4', 'Ne2', 'Nxe2+', 'Qxe2', 'Nd7', 'c3', 'b4', 'd4', 'bxc3', 'bxc3', 'Qa5', 'Rac1', 'Ba6', 'c4', 'Rb4', 'Nf3', 'Reb8', 'Rc2', 'Rb1', 'Rfc1', 'Rxc1+', 'Rxc1', 'cxd4', 'Bxd4', 'Bxd4', 'Nxd4', 'Qc5', 'Nb3', 'Qa3', 'f4', 'Rxb3', 'axb3', 'Qxc1+', 'Kh2', 'Qc3', 'Qa2', 'Nc5', 'b4', 'Qxb4', 'e5', 'dxe5', 'fxe5', 'Qxc4', 'Qd2', 'Qd3', 'Qa5', 'Qc2', 'Qd8+', 'Kg7', 'Qxe7', 'Qf2', 'Kh1', 'Bf1', 'Bxf1', 'Qxf1+', 'Kh2', 'Qf2+', 'Kh1', 'Ne4', 'e6', 'Nxg3#', '0-1']",83
53,1147271540,10/05/2015 05:27,10/05/2015 5:29,bullet,chess,502324,win,4900600,timeout,"['e4', 'e6', 'd4', 'd5', 'e5', 'c5', 'c3', 'Nc6', 'Nf3', 'Qb6', 'a3', 'cxd4', 'cxd4', 'Nh6', 'b4', 'Nf5', 'Bb2', 'a5', 'b5', 'a4', 'Be2', 'Na5', 'O-O', 'Nb3', 'Ra2', 'Bd7', 'Nc3', 'Be7', 'Nxa4', 'Rxa4', 'Qxb3', 'Ra5', 'a4', 'O-O', 'Bc3', 'Ra7', 'a5', 'Qd8', 'b6', 'Ra8', 'Bd3', 'f6', 'Bxf5', 'exf5', 'Qxd5+', 'Kh8', 'e6', 'Bc6', 'Qxd8', 'Rfxd8', 'Re1', 'Rd5', 'Nd2', 'g6', 'h3', 'Kg7', 'Nb3', 'Rb5', 'Nc5', 'Bxc5', 'dxc5', 'Rxc5', 'Bb4', 'Rb5', 'Bd2', 'Re8', 'Rc2', 'f4', 'a6', 'bxa6', 'Rxc6', 'g5', 'Rc7+', 'Kg6', 'e7', 'Rxb6', 'Rd7', 'Rd6', 'Rxd6', 'Kf7', 'Bc3', 'a5', 'Rxf6+', 'Kg7', 'Ree6', 'h6', 'Rxh6+', 'Kf7', 'Rhf6+', '1-0']",90
54,1147274206,10/05/2015 05:30,10/05/2015 5:32,bullet,chess,1017284,resigned,687103,win,"['e4', 'e6', 'Nf3', 'd5', 'exd5', 'exd5', 'd4', 'Bd6', 'c4', 'c6', 'Nc3', 'Ne7', 'Be2', 'Bf5', 'O-O', 'O-O', 'cxd5', 'cxd5', 'Bg5', 'f6', 'Bh4', 'Nbc6', 'Bg3', 'Bxg3', 'fxg3', 'Bg6', 'Bb5', 'a6', 'Ba4', 'b5', 'Bb3', 'Na5', 'Rc1', 'Nc4', 'Bxc4', 'dxc4', 'b3', 'Bd3', 'Re1', 'Nc6', 'bxc4', 'bxc4', 'd5', 'Nb4', 'Re3', 'Nxd5', 'Rxd3', 'cxd3', 'Qxd3', 'Nxc3', 'Qxc3', 'Rc8', 'Qb3+', 'Kh8', 'Rd1', 'Qa5', 'Nd4', 'Qc5', 'Kh1', 'Rfd8', 'Nf3', 'Rxd1+', 'Qxd1', 'Qe3', 'h3', 'Rc1', '0-1']",67
55,1147275789,10/05/2015 05:33,10/05/2015 5:35,bullet,chess,4179927,timeout,14116456,win,"['e4', 'e6', 'd4', 'd5', 'Nd2', 'Nf6', 'e5', 'Nfd7', 'f4', 'c5', 'c3', 'Nc6', 'Ndf3', 'Qb6', 'a3', 'a5', 'Nh3', 'a4', 'f5', 'cxd4', 'cxd4', 'Na5', 'Rb1', 'Nb3', 'Be3', 'exf5', 'Nf4', 'Qa5+', 'Kf2', 'Nb6', 'Bd3', 'Be6', 'g4', 'fxg4', 'Ng5', 'Bd7', 'Kg3', 'h5', 'Rf1', 'Be7', 'Nxf7', 'Kxf7', 'Ng6+', 'Ke8', 'Nxh8', 'h4+', 'Kg2', 'Nc4', 'Bf2', 'Kd8', 'Qe2', 'b5', 'e6', 'Be8', 'Nf7+', 'Bxf7', 'exf7', 'Kd7', 'Rfe1', 'Bd6', 'Bf5+', 'Kc6', 'Qe8+', 'Rxe8', 'fxe8=Q+', 'Kb6', 'Qd8+', 'Bc7', 'Re6+', 'Kb7', 'Qe8', 'h3+', 'Kg1', 'Nd6', 'Rxd6', 'Bxd6', 'Qd7+', 'Qc7', 'Qe6', 'Bxh2+', 'Kh1', 'Bd6', 'Qe1', 'Ka7', 'Qc1', 'Na5', '0-1']",87
56,1147279425,10/05/2015 05:38,10/05/2015 5:40,bullet,chess,1332562,win,13706799,checkmated,"['e4', 'e6', 'Nc3', 'd5', 'Nf3', 'c5', 'exd5', 'exd5', 'Bb5+', 'Nc6', 'Qe2+', 'Be7', 'Bxc6+', 'bxc6', 'O-O', 'Nf6', 'Re1', 'O-O', 'd3', 'Bd6', 'Bg5', 'h6', 'Bh4', 'Bg4', 'h3', 'Bh5', 'g4', 'Bg6', 'Ne5', 'Re8', 'Nxc6', 'Rxe2', 'Nxd8', 'Rxe1+', 'Rxe1', 'Rxd8', 'Nxd5', 'Rb8', 'Nxf6+', 'gxf6', 'Bxf6', 'c4', 'dxc4', 'Bxc2', 'Rc1', 'Be4', 'c5', 'Bf4', 'Rc4', 'Re8', 'f3', 'Be3+', 'Kg2', 'Bd5', 'Rc3', 'Bf4', 'c6', 'Re2+', 'Kf1', 'Rxb2', 'c7', 'Rb1+', 'Ke2', 'Rb2+', 'Kd3', 'Bxc7', 'Rxc7', 'Rxa2', 'f4', 'Ra3+', 'Kd4', 'Bg2', 'f5', 'Ra4+', 'Kc5', 'Bxh3', 'Rc8+', 'Kh7', 'Rh8#', '1-0']",80
57,1147280856,10/05/2015 05:40,10/05/2015 5:42,bullet,chess,2902303,win,7100361,resigned,"['e3', 'c5', 'd4', 'Nc6', 'd5', 'Ne5', 'c4', 'Ng6', 'Nc3', 'd6', 'h4', 'Nf6', 'h5', 'Ne5', 'f4', 'Neg4', 'Be2', 'h6', 'Nf3', 'e5', 'e4', 'Be7', 'f5', 'a6', 'Ng1', 'Nxe4', 'Nxe4', 'Bh4+', 'g3', 'Nf6', 'Nxd6+', 'Qxd6', 'Rxh4', 'Bxf5', 'Bd3', 'e4', 'Bf4', 'Qe7', 'Bc2', 'O-O', 'Qe2', 'b5', 'O-O-O', 'bxc4', 'g4', 'Nxd5', 'Rxd5', 'Qxh4', 'Rxf5', 'Rab8', 'Qxe4', 'Rfe8', 'Re5', 'Red8', 'Qh7+', '1-0']",56
58,1147282828,10/05/2015 05:44,10/05/2015 5:46,bullet,chess,7101406,win,4187210,timeout,"['e4', 'd6', 'd4', 'g6', 'Nc3', 'Bg7', 'h4', 'Nf6', 'Be2', 'h5', 'Bg5', 'Nbd7', 'Nf3', 'e5', 'dxe5', 'dxe5', 'Qd2', 'c6', 'O-O-O', 'Qc7', 'Kb1', 'O-O', 'Bc4', 'b5', 'Bb3', 'b4', 'Na4', 'Kh7', 'Qe3', 'Ng4', 'Qe2', 'f6', 'Bc1', 'Nb6', 'Nc5', 'a5', 'a4', 'bxa3', 'bxa3', 'a4', 'Ba2', 'Qb8', 'Ka1', 'Qc7', 'Ne1', 'Nd7', 'Ne6', 'Qb6', 'Nxf8+', 'Nxf8', 'f3', 'Nh6', 'Be3', 'c5', 'Nd3', 'Ra5', 'Rb1', 'Qc7', 'Qf2', 'Be6', 'Nxc5', 'Bxa2', 'Kxa2', 'Qf7+', 'Ka1', 'Ne6', 'Nd3', 'Ra7', 'Rb4', 'Rb7', 'Rhb1', 'Rxb4', 'Rxb4', 'Bf8', 'g4', 'Bxb4', 'Nxb4', 'hxg4', 'fxg4', 'Nxg4', 'Qe2', 'Nxe3', 'Qxe3', 'Nd4', 'h5', 'Qe7', 'hxg6+', '1-0']",88
59,1147284334,10/05/2015 05:47,10/05/2015 5:49,bullet,chess,35009141,timeout,13602390,win,"['e4', 'e6', 'Nf3', 'd5', 'Nc3', 'd4', 'Ne2', 'Nc6', 'Ng3', 'Nf6', 'Bb5', 'h5', 'h4', 'a6', 'Bxc6+', 'bxc6', 'd3', 'c5', 'Bg5', 'Be7', 'Nd2', 'Ng4', 'Bxe7', 'Qxe7', 'Nc4', 'a5', 'a4', 'g6', 'f3', 'Nf6', 'b3', 'Bb7', 'Ne2', 'e5', 'g3', 'Nd7', 'Qd2', 'f5', 'Qg5', 'Qxg5', 'hxg5', 'Kf7', 'Kd2', 'Ke6', 'Raf1', 'Ba6', 'Nc1', 'Bxc4', 'dxc4', 'fxe4', 'fxe4', 'Raf8', 'Nd3', 'Kd6', 'Ke2', 'Rxf1', 'Rxf1', 'Rf8', 'Rf3', 'Rxf3', 'Kxf3', 'Nf8', 'g4', 'Ne6', 'gxh5', 'gxh5', 'g6', 'Ng7', 'Nf2', 'Ke6', 'Nh3', 'Kf6', 'Kg3', 'Kxg6', 'Kh4', 'Ne6', 'Nf2', 'Nf4', 'Kg3', 'Kg5', 'Kf3', 'h4', 'Nd3', 'h3', 'Nxe5', 'h2', 'Nf7+', 'Kh4', 'Ne5', 'h1=Q+', 'Kxf4', 'Qf1+', 'Nf3+', 'Qxf3+', 'Kxf3', 'Kg5', '0-1']",97
60,1147290221,10/05/2015 05:56,10/05/2015 5:58,bullet,chess,1195522,win,2276178,timeout,"['e4', 'e6', 'd4', 'd5', 'e5', 'c5', 'c3', 'Nc6', 'Nf3', 'Bd7', 'a3', 'c4', 'b4', 'cxb3', 'Qxb3', 'Na5', 'Qd1', 'Ne7', 'Be3', 'Qc7', 'Nbd2', 'O-O-O', 'Rc1', 'Kb8', 'c4', 'dxc4', 'Nxc4', 'Nxc4', 'Bxc4', 'Nc6', 'O-O', 'Bxa3', 'Ra1', 'Be7', 'Qa4', 'b6', 'Qa2', 'Nb4', 'Qb3', 'Rc8', 'Rfc1', 'Qb7', 'Nd2', 'Rc7', 'h3', 'Rhc8', 'f3', 'a5', 'Ne4', 'f5', 'exf6', 'gxf6', 'Bf4', 'a4', 'Qe3', 'e5', 'dxe5', 'Rxc4', 'Rxc4', 'Rxc4', 'exf6+', 'Ka8', 'fxe7', 'Be8', 'Nd6', 'Qc6', 'Nxc4', 'Qxc4', 'Rd1', 'Nc6', 'Bg3', 'Kb7', 'Bf2', 'Qb5', 'Kh2', 'Qb4', 'f4', 'Qxe7', 'Qf3', 'Qc7', 'Re1', 'Bd7', 'Kh1', 'Qc8', 'f5', 'b5', 'f6', 'Be6', 'f7', 'Bd7', 'Re7', 'Qf8', 'Rxd7+', 'Ka6', 'Qxc6+', '1-0']",96
