,Fide id,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag,firstName,lastName
42,4144228,RUS,F,1985.0,IM,2448,1931.0,1925.0,wi,Korbut, Ekaterina
43,13403729,AZE,F,2000.0,IM,2443,2280.0,2242.0,wa,Mammadzada, Gunay
44,4129725,RUS,F,1972.0,IM,2438,2356.0,2412.0,wi,Galliamova, Alisa
45,14101602,UKR,F,1998.0,IM,2438,2356.0,2242.0,wa,Osmak, Iulija
46,617822,FRA,F,1986.0,GM,2438,2413.0,2482.0,wa,Sebag, Marie
47,13903063,ROU,F,1993.0,IM,2434,2351.0,2335.0,wa,Bulmaga, Irina
48,8602689,CHN,F,1986.0,WGM,2433,2464.0,2311.0,wa,Huang, Qian
49,4167570,RUS,F,1989.0,GM,2431,2427.0,2476.0,wa,Gunina, Valentina
50,2012782,USA,F,1983.0,GM,2429,2392.0,2342.0,wa,Krush, Irina
51,13604040,GEO,F,1994.0,IM,2428,2434.0,2432.0,wa,Arabidze, Meri
52,4900758,MGL,F,1987.0,IM,2428,2364.0,2285.0,wa,Munguntuul, Batkhuyag
53,1106619,POL,F,1978.0,GM,2428,2321.0,2289.0,wa,Socko, Monika
54,13509926,BLR,F,2002.0,IM,2427,2246.0,2197.0,wa,Badelka, Olga
55,8604070,CHN,F,1995.0,WGM,2426,2421.0,2378.0,wa,Wang, Jue
56,8600546,QAT,F,1976.0,GM,2423,2404.0,2378.0,wi,Zhu, Chen
57,8602972,CHN,F,1991.0,WGM,2422,2349.0,2313.0,wa,Ding, Yixin
58,13601377,ESP,F,1983.0,IM,2421,2361.0,2438.0,wa,Matnadze, Ana
59,2090732,USA,F,2003.0,IM,2421,1931.0,1708.0,wa,Yip, Carissa
60,14102463,ESP,F,1978.0,IM,2420,2406.0,2408.0,wa,Alexandrova, Olga
61,14101572,USA,F,1978.0,IM,2420,2327.0,2331.0,wa,Zatonskih, Anna
62,1122320,POL,F,1987.0,WGM,2419,2313.0,2257.0,wa,Zawadzka, Jolanta
63,8604002,CHN,F,1995.0,IM,2418,2446.0,2338.0,wa,Guo, Qi
64,13900145,FRA,F,1976.0,IM,2418,2227.0,2298.0,wa,Skripchenko, Almira
65,14110911,UKR,F,1985.0,GM,2416,2376.0,2387.0,wa,Ushenina, Anna
66,639370,FRA,F,1988.0,IM,2415,2284.0,2270.0,wa,Guichard, Pauline
67,403512,ENG,F,1978.0,IM,2414,2391.0,1925.0,wi,Hunt, Harriet V
68,7101937,INA,F,1992.0,IM,2413,2381.0,2313.0,wa,Sukandar, Irine Kharisma
69,4181751,RUS,F,1992.0,IM,2411,2308.0,2415.0,wa,Bodnaruk, Anastasia
70,1122681,POL,F,1987.0,IM,2411,2330.0,2304.0,wa,Cyfka, Karina
71,14123622,UKR,F,1996.0,IM,2410,2213.0,2214.0,wa,Buksa, Nataliya
72,13300210,ARM,F,1978.0,GM,2407,2358.0,2289.0,wa,Danielian, Elina
73,12400149,HUN,F,1980.0,GM,2407,2338.0,2364.0,wa,Hoang, Thanh Trang
74,2005956,USA,F,1954.0,WGM,2405,1931.0,1925.0,wi,Levitina, Irina
75,308498,CZE,F,1982.0,IM,2402,1931.0,1925.0,wi,Jackova, Jana
76,13308130,ARM,F,2001.0,WGM,2402,2304.0,2263.0,wa,Sargsyan, Anna M.
77,623725,FRA,F,1983.0,IM,2401,2381.0,2296.0,wa,Milliet, Sophie
78,8603162,CHN,F,1989.0,IM,2401,2383.0,2331.0,wa,Shen, Yang
79,12802859,LTU,F,1989.0,IM,2400,2362.0,2285.0,wa,Daulyte-Cornette, Deimante
80,14101181,UKR,F,1976.0,IM,2396,2375.0,2326.0,wa,Gaponenko, Inna
81,1108166,POL,F,1981.0,IM,2394,2381.0,1925.0,wi,Rajlich, Iweta
82,5091756,IND,F,2001.0,WGM,2393,2149.0,2313.0,wa,Vaishali R,
83,1201930,ROU,F,1978.0,IM,2392,2355.0,2293.0,wa,Peptan, Corina-Isabela
84,5007844,IND,F,1986.0,IM,2392,2339.0,2280.0,wa,Tania, Sachdev
85,5019516,IND,F,1992.0,IM,2391,2325.0,2224.0,wa,Kulkarni Bhakti,
86,4264312,GRE,F,2000.0,IM,2391,2305.0,2343.0,wa,Tsolakidou, Stavroula
87,8608466,CHN,F,1997.0,WGM,2389,2377.0,2186.0,wa,Ni, Shiqun
88,14109956,UKR,F,1986.0,WGM,2389,1931.0,1925.0,wi,Zdebskaja, Natalia
89,3801934,PER,F,1993.0,WGM,2388,2340.0,2391.0,wa,Cori T., Deysi
90,13300601,ARM,F,1982.0,IM,2388,2306.0,2319.0,wa,Mkrtchian, Lilit
91,904180,SRB,F,1970.0,IM,2387,1931.0,1925.0,wi,Maric, Alisa
92,8600406,CHN,F,1974.0,WGM,2387,1931.0,1925.0,wi,Wang, Pin
93,4100123,RUS,F,1996.0,WGM,2386,2248.0,2219.0,wa,Bivol, Alina
94,4116704,RUS,F,1974.0,IM,2384,2282.0,2177.0,wa,Kovalevskaya, Ekaterina
95,2053900,USA,F,2002.0,IM,2384,1931.0,2037.0,wa,Wang, Annie
96,13602888,NED,F,1991.0,IM,2383,2328.0,2321.0,wa,Guramishvili, Sopiko
97,4900782,MGL,F,2000.0,IM,2383,2235.0,2188.0,wa,Nomin-Erdene, Davaademberel
98,13403508,AZE,F,1991.0,IM,2382,2400.0,2328.0,wa,Mammadova, Gulnar
99,405094,ENG,F,1980.0,IM,2381,2317.0,2345.0,wa,Houska, Jovanka
100,4120876,RUS,F,1979.0,IM,2381,2348.0,2388.0,wa,Turova, Irina
101,13600168,SCO,F,1968.0,GM,2380,2282.0,2177.0,wa,Arakhamia-Grant, Ketevan
102,4119827,RUS,F,1969.0,IM,2380,2338.0,2231.0,wa,Matveeva, Svetlana
103,2219026,ESP,F,1987.0,IM,2380,2243.0,2248.0,wa,Vega Gutierrez, Sabrina
104,13708694,KAZ,F,2004.0,FM,2378,2321.0,2232.0,wa,Assaubayeva, Bibisara
105,4149351,RUS,F,1986.0,IM,2378,2252.0,2259.0,wa,Guseva, Marina
106,14203626,UZB,F,1999.0,WGM,2378,2330.0,2236.0,wa,Tokhirjonova, Gulrukhbegim
107,4132190,ITA,F,1982.0,IM,2378,2327.0,2229.0,wa,Zimina, Olga
108,13406396,AZE,F,2001.0,WGM,2376,2093.0,2119.0,wa,Balajayeva, Khanim
109,13603620,USA,F,1993.0,IM,2374,2402.0,2314.0,wi,Paikidze, Nazi
110,14104652,RUS,F,1980.0,WFM,2373,2173.0,2107.0,wa,Gritsayeva, Oksana
111,13505211,BLR,F,1995.0,IM,2373,2299.0,2271.0,wi,Ziaziulkina, Nastassia
112,4131827,RUS,F,1982.0,IM,2372,2235.0,2092.0,wa,Ovod, Evgenija
113,2915138,BUL,F,2003.0,IM,2372,2085.0,1973.0,wa,Salimova, Nurgyul
114,4166299,RUS,F,1989.0,IM,2371,2328.0,2262.0,wa,Ambartsumova, Karina
115,717444,HUN,F,1984.0,WGM,2371,2274.0,2340.0,wa,Gara, Ticia
116,13602446,GEO,F,1987.0,IM,2370,2271.0,2211.0,wa,Melia, Salome
117,5029295,IND,F,1994.0,IM,2370,2355.0,2196.0,wa,Padmini, Rout
118,3506940,CUB,F,1988.0,IM,2369,2290.0,2301.0,wa,Ordaz Valdes, Lisandra Teresa
119,822590,ITA,F,1994.0,IM,2368,2316.0,2328.0,wa,Brunello, Marina
120,12401226,VIE,F,1987.0,IM,2366,2377.0,2325.0,wa,Pham, Le Thao Nguyen
121,8600201,CHN,F,1996.0,WGM,2366,2351.0,2342.0,wa,Zhai, Mo
122,5050847,IND,F,1996.0,WGM,2365,2131.0,1989.0,wa,Nandhidhaa, P V
123,908550,SRB,F,1971.0,IM,2363,1931.0,1925.0,wa,Bojkovic, Natasa
124,13603434,GEO,F,1992.0,WGM,2363,2191.0,2246.0,wa,Tsatsalashvili, Keti
125,6302920,TUR,F,1989.0,WGM,2362,2365.0,2253.0,wa,Yildiz Kadioglu, Betul Cemre
